Precious Achiuwa	SF	6-8	243	24	NYK, TOR	74	3	Memphis	2020 Rnd 1 Pick 20	Nigeria
Bam Adebayo	C	6-9	255	26	MIA	71	6	Kentucky	2017 Rnd 1 Pick 14	United States
Ochai Agbaji	SF	6-5	215	23	TOR, UTH	78	1	Kansas	2022 Rnd 1 Pick 14	United States
Santi Aldama	C	7-0	215	23	MEM	61	2	Loyola (MD)	2021 Rnd 1 Pick 30	Spain
Nickeil Alexander-Walker	SG	6-5	205	25	MIN	82	4	Virginia Tech	2019 Rnd 1 Pick 17	Canada
Grayson Allen	SG	6-4	198	28	PHX	75	5	Duke	2018 Rnd 1 Pick 21	United States
Jarrett Allen	C	6-9	243	25	CLE	77	6	Texas	2017 Rnd 1 Pick 22	United States
Timmy Allen	SF	6-6	210	24	MEM	5	0	Texas	2023 NBA Draft, Undrafted	United States
Jose Alvarado	G	6-0	179	25	NOP	56	2	Georgia Tech	2021 NBA Draft, Undrafted	United States
Kyle Anderson	PF	6-9	230	30	MIN	79	9	UCLA	2014 Rnd 1 Pick 30	United States
Giannis Antetokounmpo	F	6-11	243	29	MIL	73	10	Filathlitikos Div II Greece (Greece)	2013 Rnd 1 Pick 15	Greece
Thanasis Antetokounmpo	SF	6-7	219	31	MIL	34	5	Delaware 87ers	2014 Rnd 2 Pick 21	Greece
Cole Anthony	PG	6-2	185	23	ORL	81	3	North Carolina	2020 Rnd 1 Pick 15	United States
OG Anunoby	SF	6-7	240	26	NYK, TOR	50	6	Indiana	2017 Rnd 1 Pick 23	England
Ryan Arcidiacono	G	6-3	195	29	NYK	20	6	Villanova	2016 NBA Draft, Undrafted	United States
Deni Avdija	SG	6-9	210	23	WAS	75	3	Maccabi Tel Aviv U18 (Israel)	2020 Rnd 1 Pick 9	Israel
Deandre Ayton	C	7-0	247	25	POR	55	5	Arizona	2018 Rnd 1 Pick 1	Bahamas
Udoka Azubuike	C	6-11	270	24	PHX	16	3	Kansas	2020 Rnd 1 Pick 27	Nigeria
Ibou Badji	C	7-0	237	21	POR	22	1	Forca Lleida CE (Spain)	2022 NBA Draft, Undrafted	Senegal
Marvin Bagley III	PF	6-10	235	24	DET, WAS	50	5	Duke	2018 Rnd 1 Pick 2	United States
Amari Bailey	G	6-3	185	20	CHA	10	0	UCLA	2023 Rnd 2 Pick 11	United States
Patrick Baldwin Jr.	SG	6-9	220	21	WAS	38	1	Milwaukee	2022 Rnd 1 Pick 28	United States
LaMelo Ball	G	6-7	180	22	CHA	22	3	Illawarra (Australia)	2020 Rnd 1 Pick 3	United States
Mo Bamba	C	7-0	231	25	PHI	57	5	Texas	2018 Rnd 1 Pick 6	United States
Paolo Banchero	C	6-10	250	21	ORL	80	1	Duke	2022 Rnd 1 Pick 1	United States
Desmond Bane	SG	6-5	215	25	MEM	42	3	TCU	2020 Rnd 1 Pick 30	United States
Dalano Banton	PG	6-8	204	24	BOS, POR	54	2	Nebraska	2021 Rnd 2 Pick 16	Canada
Dominick Barlow	F	6-9	215	20	SAS	33	1	Overtime Elite (Georgia)	2022 NBA Draft, Undrafted	United States
Harrison Barnes	SF	6-8	225	31	SAC	82	11	North Carolina	2012 Rnd 1 Pick 7	United States
Scottie Barnes	SF	6-7	237	22	TOR	60	2	Florida State	2021 Rnd 1 Pick 4	United States
RJ Barrett	SG	6-6	214	23	NYK, TOR	58	4	Duke	2019 Rnd 1 Pick 3	Canada
Charles Bassey	PF	6-10	230	23	SAS	19	2	Western Kentucky	2021 Rnd 2 Pick 23	Nigeria
Emoni Bates	SF	6-9	190	20	CLE	15	0	Eastern Michigan	2023 Rnd 2 Pick 19	United States
Keita Bates-Diop	SF	6-8	229	28	BRK, PHX	53	5	Ohio State	2018 Rnd 2 Pick 18	United States
Nicolas Batum	F	6-8	230	35	LAC, PHL	60	15	Le Mans Sarthe Basket (France)	2008 Rnd 1 Pick 25	France
Darius Bazley	PF	6-8	208	23	PHL, UTH	9	4	 	2019 Rnd 1 Pick 23	United States
Bradley Beal	SG	6-4	207	30	PHX	53	11	Florida	2012 Rnd 1 Pick 3	United States
Malik Beasley	SG	6-4	187	27	MIL	79	7	Florida State	2016 Rnd 1 Pick 19	United States
MarJon Beauchamp	SG	6-7	202	23	MIL	48	1	NBA G League Ignite	2022 Rnd 1 Pick 24	United States
Jules Bernard	SG	6-6	205	24	WAS	19	0	UCLA	2022 NBA Draft, Undrafted	United States
Davis Bertans	SF	6-10	225	31	CHA, OKC	43	7	Union Olimpija (Slovenia)	2011 Rnd 2 Pick 12	Latvia
Patrick Beverley	PG	6-2	180	35	MIL, PHL	73	11	Dnipro Dnipropetrovsk (Ukraine)	2009 Rnd 2 Pick 12	United States
Saddiq Bey	F	6-7	215	24	ATL	63	3	Villanova	2020 Rnd 1 Pick 19	United States
Goga Bitadze	C	6-10	250	24	ORL	62	4	KK Mega Bemax (Serbia)	2019 Rnd 1 Pick 18	Georgia
Onuralp Bitim	SG	6-6	215	24	CHI	23	0	Pinar Karsiyaka (Turkey)	2021 NBA Draft, Undrafted	Turkey
Bismack Biyombo	PF	6-8	255	31	MEM, OKC	40	12	Urbas Fuenlabrada (Spain)	2011 Rnd 1 Pick 7	Democratic Republic of the Congo
Anthony Black	G	6-7	200	20	ORL	69	0	Arkansas	2023 Rnd 1 Pick 6	United States
Leaky Black	SF	6-7	205	24	CHA	26	0	North Carolina	2023 NBA Draft, Undrafted	United States
Buddy Boeheim	SG	6-6	205	24	DET	10	1	Syracuse	2022 NBA Draft, Undrafted	United States
Bogdan Bogdanovic	SG	6-5	225	31	ATL	79	6	KK Partizan (Serbia)	2014 Rnd 1 Pick 27	Serbia
